#dalpdx  dalpdy   dalpdz
  -0.4176151E+000   0.9717058E+000   0.1242396E+000
  -0.2052217E+000   0.5958595E+000   0.2314505E+000
  -0.4211196E+000   0.5050403E-001   0.5868718E+000
  -0.3173287E+000  -0.1495184E+000   0.5005964E+000
   0.2386160E+000   0.2395671E+000   0.1300559E+000
   0.6296006E-002   0.5561634E+000  -0.4042623E-001
  -0.1206576E-001   0.1316274E+001  -0.2214367E+000
   0.4191369E+000   0.1689177E+001  -0.3141245E+000
   0.1033934E+000   0.1537173E+001  -0.2787249E+000
   0.9271789E+000   0.1595511E+001   0.1939008E+000
   0.4579396E+001   0.1846060E+001   0.1080332E+001
   0.6104490E+001   0.1964181E+001   0.1568762E+001
   0.6519458E+001   0.3661379E+000   0.2284517E+001
   0.1915739E+001  -0.1296413E+001   0.2379473E+001
  -0.2003940E+001  -0.3144590E+001   0.1153933E+001
  -0.4462824E+001  -0.6069780E+001   0.8641870E-001
  -0.5662540E+001  -0.6558036E+001  -0.1347314E+001
   0.3940213E+000  -0.4231589E+001  -0.1657373E+001
   0.4206858E+001  -0.3637244E+001  -0.1211116E+001
   0.7061779E+000  -0.2368069E+001   0.1724775E+001
   0.1273674E+001  -0.1102594E+001   0.3419378E+001
  -0.1858190E+000  -0.1105296E+001   0.3580552E+001
  -0.4239268E+001   0.2901429E+000   0.3290825E+001
  -0.3444782E+001   0.6621999E+000   0.1236498E+001
  -0.1500493E+001   0.9031937E+000  -0.2616854E+000
  -0.7393069E+000   0.8353752E+000  -0.1127131E+000
  -0.3506052E+000   0.9452844E-001  -0.1639391E+000
   0.4755521E+000  -0.5760523E-001  -0.7440592E+000
   0.2591269E+001   0.6451755E+000  -0.2436081E+001
   0.3799345E-001  -0.4444219E+000  -0.2177370E+001
  -0.1632446E+001  -0.6528689E+000  -0.1807476E+001
  -0.1802252E+001  -0.4767902E+000  -0.1377590E+001
  -0.1359701E+001  -0.6959821E+000  -0.2319847E-001
  -0.1718485E+000   0.2090586E+000  -0.6783502E-001
   0.1191224E+001   0.2512845E+001  -0.3301276E+000
   0.1174522E+001   0.4292679E+001  -0.4706158E+000
   0.7184127E+000   0.5411556E+001  -0.5606581E+000
  -0.1007237E+001   0.5380581E+001  -0.8342915E+000
  -0.5921451E+000   0.4578376E+001  -0.1091503E+001
  -0.7515606E+000   0.3169489E+001  -0.7589035E+000
  -0.1000224E+001   0.2230169E+001  -0.6248212E+000
  -0.7235880E+000   0.1371189E+001  -0.3786574E+000
  -0.5885679E+000   0.6797917E+000   0.2931249E+000
   0.4188587E+000   0.1008441E+001   0.4055328E+000
   0.7596297E+000   0.1284231E+001   0.4769819E-001
   0.5175480E+000   0.1421390E+001  -0.8381757E-002
   0.2495728E+000   0.1550191E+001  -0.3033896E+000
  -0.2149734E+000   0.1250081E+001  -0.3391549E+000
   0.1073767E-001   0.1175889E+001  -0.6689769E-001
   0.1056430E+001   0.1868428E+001   0.6490532E+000
   0.4851098E+001   0.2344235E+001   0.2250510E+001
   0.6174932E+001   0.2514841E+001   0.3076029E+001
   0.4586064E+001   0.2024277E+001   0.4372969E+001
   0.1492543E+001   0.8218139E+000   0.5240767E+001
  -0.3082752E+001   0.4944015E+000   0.3773309E+001
  -0.5443864E+001   0.2570282E-001   0.2821200E+001
