#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.2514934E+002   0.2926879E+002  -0.7591735E+001   0.9595215E+001   0.1064922E+002   0.3155582E+001   0.5665347E+002  -0.2055478E+002   0.1365208E+002  -0.8480490E+000   0.3042133E+004
  -0.2227173E+002   0.1810061E+002  -0.3153182E+001  -0.1049475E+002  -0.3076216E+001   0.7677579E+001   0.1401946E+003  -0.1239136E+003   0.2586240E+002   0.5144584E+000   0.1734878E+005
  -0.2685994E+002   0.1139243E+002   0.2381997E+001  -0.4927318E+002  -0.1297376E+002   0.1752951E+002   0.1389575E+003  -0.1561965E+003   0.4175973E+002   0.1926028E+001   0.2295258E+005
  -0.1281905E+002   0.4626632E+001   0.5597061E+001  -0.6150415E+002  -0.2105139E+002   0.2599516E+002   0.1156047E+003  -0.1370411E+003   0.3335157E+002  -0.5188630E+000   0.1684778E+005
   0.9243198E+001   0.8724642E+000   0.6166061E+001  -0.4674487E+002  -0.2112532E+002   0.2866412E+002   0.3870368E+002  -0.9087785E+002   0.9503191E+001  -0.2378932E+001   0.4614200E+004
   0.2698040E+002   0.6789095E+000   0.6140099E+001  -0.6793965E+001  -0.1214199E+002   0.2058002E+002   0.3388425E+002   0.6840651E+000  -0.1583004E+002  -0.9916374E+000   0.2171385E+004
   0.1942846E+002   0.5139795E+001   0.8366426E+001   0.1938135E+002   0.2346892E+001   0.1303024E+002   0.3898925E+002   0.9447323E+002  -0.2077240E+002   0.1002947E+001   0.8014552E+004
  -0.1508105E+002   0.6024397E+001   0.1222810E+002   0.3481761E+002   0.2456672E+002   0.9384639E+001   0.1065856E+003   0.1233943E+003  -0.8575619E+001   0.9100482E+000   0.1761174E+005
  -0.4529550E+001   0.3668185E+001   0.1486914E+002   0.1341906E+002   0.5088066E+002   0.1345040E+002   0.7564299E+002   0.9672047E+002  -0.4509326E+002   0.1257845E+001   0.1495325E+005
   0.2397302E+002  -0.8511770E+001   0.5474773E+001   0.2439998E+001   0.6873616E+002   0.2238206E+002   0.4483729E+002   0.7750614E+001  -0.8986459E+002   0.2844588E+001   0.1511039E+005
   0.5691776E+002  -0.3099439E+002  -0.6438686E+001  -0.1981695E+002   0.6836932E+002   0.2265627E+002   0.9247797E+001  -0.6890250E+002  -0.1203685E+003   0.4918563E+001   0.2475871E+005
   0.3659939E+002  -0.5746127E+002  -0.1170976E+002  -0.6287946E+001   0.5436285E+002   0.9671550E+001   0.3473719E+001  -0.1423789E+003  -0.8749912E+002   0.3463110E+001   0.2281845E+005
  -0.7822305E+001  -0.8521773E+002  -0.6302665E+001   0.2963988E+001   0.3659653E+002  -0.7453926E+001  -0.1996585E+002  -0.1417589E+003  -0.2700019E+002   0.1774032E+001   0.1698854E+005
  -0.3815872E+002  -0.9626475E+002   0.7188645E+001   0.1171290E+002   0.2787645E+002  -0.1686399E+002  -0.7027347E+002  -0.7571881E+002   0.1017832E+002  -0.1039569E+000   0.1218692E+005
  -0.2826214E+002  -0.7881084E+002   0.1214726E+002  -0.1917721E+002   0.1954972E+002  -0.1241287E+002  -0.1031907E+001   0.4208632E+002   0.6795915E+001  -0.1916510E+001   0.6528761E+004
  -0.2014375E+001  -0.4461652E+002   0.1285061E+002  -0.4172599E+002   0.9381051E+001  -0.3736069E+001   0.6886473E+002   0.1418637E+003  -0.9176768E+001  -0.1810091E+001   0.1678102E+005
   0.7237520E+001  -0.2112752E+002   0.1556593E+002  -0.4500606E+002  -0.1067220E+001   0.2071075E+001   0.9801659E+002   0.1766207E+003  -0.7267987E+001  -0.1097687E+001   0.2470864E+005
   0.6498949E-001  -0.2176989E+002   0.1876123E+002  -0.1527075E+002  -0.1270061E+002   0.5942452E+001   0.6158168E+002   0.1459601E+003   0.1255944E+002  -0.7618743E-001   0.1576974E+005
  -0.1502398E+002  -0.3601931E+002   0.2132254E+002   0.2675303E+002  -0.1982401E+002   0.8738282E+001  -0.5108447E+002   0.9337270E+002   0.3468782E+002  -0.1601712E+000   0.7521092E+004
