# ~alp d~p/dx   Phi_p_sgs,x
  -0.2301320E+001  -0.1652231E+002
   0.5971298E+001  -0.3241153E+001
   0.6381679E+001   0.4551314E+001
   0.4106806E+001   0.4704325E+001
  -0.1404424E+000   0.7085767E+000
  -0.1713849E+002  -0.2655244E+002
  -0.3067683E+002  -0.3479009E+002
  -0.2167286E+002  -0.4043007E+002
  -0.3740237E+001  -0.2801846E+002
   0.2306166E+001   0.1039781E+001
   0.1121138E+001   0.2418897E+001
   0.3638287E+000   0.3089228E+000
   0.8571580E+000   0.1102067E+001
   0.5701501E+001   0.7293905E+001
   0.1323720E+002   0.9166578E+001
   0.1427621E+002   0.9863229E+001
   0.6890588E+001   0.8119275E+001
   0.1110053E+001   0.2058024E+001
  -0.2667883E+001  -0.1936239E+001
  -0.7549255E+001  -0.3489179E+001
  -0.1275246E+002  -0.2720889E+001
  -0.1036840E+002  -0.3010961E+001
  -0.4055329E+001  -0.3254417E+001
   0.5275741E+000  -0.1648393E+001
   0.1488482E+001  -0.5045970E+000
   0.1340023E+001  -0.9907317E-001
   0.1628017E+001  -0.5052146E-001
   0.1713891E+001  -0.1365198E+000
   0.1319576E+001  -0.3103484E+000
   0.2992048E+000  -0.6521945E-001
  -0.9490067E+000  -0.7552598E+000
  -0.1654964E+001  -0.2143536E+000
  -0.1754014E+001  -0.2930947E+000
   0.1019369E+001  -0.1195020E+001
   0.3211209E+001  -0.1934411E+001
   0.3451928E+001  -0.4020638E+001
  -0.1287087E+001  -0.8869508E+001
  -0.6986578E+001  -0.8221509E+001
  -0.1022512E+002  -0.9482961E+001
  -0.5147800E+001  -0.8197403E+001
  -0.1304988E+001  -0.7233841E+001
   0.1025394E+001  -0.3253796E+001
